Model,Type,MSE,RMSE,MAE,RÂ²
Ensemble (Weighted),Ensemble,72.69387376417964,8.526070241569656,5.974105101125245,0.3790377281831345
Ensemble (Average),Ensemble,72.69859787804982,8.526347276416192,5.974249096884564,0.37899737407446965
XGBoost,ML,74.5410385131836,8.63371522076004,6.089813709259033,0.36325889825820923
Simple MLP,DL,75.79740142822266,8.706170307788762,6.048490524291992,0.35252684354782104
LightGBM,ML,76.81878931572201,8.76463286827931,6.158441434125258,0.34380206389252654
ResNet,DL,78.20138549804688,8.843154725438591,6.198777198791504,0.3319917321205139
Random Forest,ML,83.39685861432757,9.132188051848669,6.602323192318308,0.2876111822636037
Linear Regression,ML,88.07074547610505,9.384601508647293,6.716829952096372,0.247686120444509
Ridge,ML,88.07074552494144,9.384601511249237,6.716829961236044,0.24768612002734092
Lasso,ML,88.11387861052862,9.386899307573753,6.7167599444384,0.24731767056344844
Deep NN,DL,106.63713073730469,10.326525588856336,7.348140239715576,0.08908921480178833
Wide and Deep,DL,107.95629119873047,10.39020169191775,8.498645782470703,0.07782065868377686
